fullname	ipni	authorship	taxonKey	taxonRank	rank
Rhodomyrtus longisepala N.Snow & J.McFadden	77094949-1	N.Snow & J.McFadden	3716715	species	Q16
Rhodomyrtus mengenensis N.Snow	77079721-1	N.Snow	3179969	species	Q16
Rhodomyrtus misimana N.Snow	77094950-1	N.Snow	3716711	species	Q16
Rhodomyrtus takeuchii N.Snow & J.Cantley	60454662-2	N.Snow & J.Cantley	6306512	species	Q16
Rhodomyrtus verecunda A.J.Ford & Peter G.Wilson	77305915-1	A.J.Ford & Peter G.Wilson	12188311	species	Q16
Rhodopis lowdenii Judd	219613-2	Judd	5358240	species	Q16
Rhodosciadium macvaughiae Mathias & Constance	219622-2	Mathias & Constance	3640538	species	Q16
Rhodospatha arborescens Temponi & Croat	60458187-2	Temponi & Croat	8145167	species	Q16
Rhodospatha mukuntakia Croat	60438321-2	Croat	2871978	species	Q16
Rhodospatha pachysperma Madison	219651-2	Madison	2872009	species	Q16
Rhodospatha pellucida Croat & Grayum	319374-2	Croat & Grayum	2871988	species	Q16
Rhodospatha rupicola Edwin Trujillo, Zuluaga & Alzate-Lozano	77202874-1	Edwin Trujillo, Zuluaga & Alzate-Lozano	10710225	species	Q16
Rhodostemonodaphne antioquensis Madriñán	60441016-2	Madriñán	4179318	species	Q16
Rhodostemonodaphne avilensis Madriñán	60441009-2	Madriñán	4179304	species	Q16
Rhodostemonodaphne crenaticupula Madriñán	60441011-2	Madriñán	4179257	species	Q16
Rhodostemonodaphne cyclops Madriñán	60441007-2	Madriñán	4179234	species	Q16
Rhodostemonodaphne elephantopus Madriñán	301117-2	Madriñán	4179191	species	Q16
Rhodostemonodaphne frontinensis Madriñán	60441006-2	Madriñán	4179181	species	Q16
Rhodostemonodaphne leptoclada Madriñán	301184-2	Madriñán	4179092	species	Q16
Rhodostemonodaphne longiflora Madriñán	60441005-2	Madriñán	4179070	species	Q16
Rhodostemonodaphne longipetiolata Madriñán	60441018-2	Madriñán	4179062	species	Q16
Rhodostemonodaphne morii Madriñán	306223-2	Madriñán	4178948	species	Q16
Rhodostemonodaphne napoensis Madriñán	60441017-2	Madriñán	4178940	species	Q16
Rhodostemonodaphne negrensis Madriñán	60441014-2	Madriñán	4178929	species	Q16
Rhodostemonodaphne ovatifolia Madriñán	60441004-2	Madriñán	4178917	species	Q16
Rhodostemonodaphne parvifolia Madriñán	77075391-1	Madriñán	4178907	species	Q16
Rhodostemonodaphne penduliflora Madriñán	60441021-2	Madriñán	4178900	species	Q16
Rhodostemonodaphne peneia Madriñán	60441020-2	Madriñán	4178892	species	Q16
Rhodostemonodaphne recurva van der Werff	320525-2	van der Werff	4178862	species	Q16
Rhodostemonodaphne revolutifolia Madriñán	302378-2	Madriñán	4178841	species	Q16
